p | Can I get a encore @wethebestmusic @rocnation 🔑 https://t.co/P1fklsoqcS
p | New music soon come🔑 its coming 🔥 @wethebestmusic @epic_records https://t.co/aPogtfEeM6
p | Take a toast to success ! #DusseDon @dussecognac https://t.co/d68jBbMUDH
p | RT @maripalomino155: Thank you @Beyonce and @djkhaled  for one hell of a show 🔥😍
p | Some things are too sweet for words. My unconditional love angel pig. 😇🐽 https://t.co/PkuQ9FdZuB
p | RT @NPR: One of the missing Nigerian schoolgirls abducted by Boko Haram in 2014 has reportedly been found. https://t.co/beek0ik4tQ
p | 😘😘😘😘😘 love my babies #AdultSwim https://t.co/GolYPp4yHV
p | This is a must see, I'm going to check this out tomorrow it's in theaters everywhere. #FRIGO https://t.co/DiyvSVZfxd
p | Seattle #formationtour🐝🔑 your energy was so amazing !!! Thank u for all the luv! @wethebestmusic… https://t.co/t2f6LJHlct
p | RT @itscharlesjones: @djkhaled lit right now in Seattle
p | .@melindagates explains why we are investing in better data for women and girls… https://t.co/kjDeD9ZjHK
p | My list of potential U.S. Supreme Court Justices was very well recieved. During the next number of weeks I may be adding to the list!
p | tell me why you know every word already 😭😭😭 I love you from the bottom of my heart, Ny. what a special night.
p | We the best store . Com  https://t.co/Q63x9dq8kJ
p | Thank u bless up  https://t.co/GC2sMDlLZQ
p | it is rare and special for a screenwriter to get tweets like this and don't think I don't appreciate i thank you https://t.co/8VS4UzWsq6
p | agree with you. her voice is amazing! #Greenleaf  https://t.co/uN7QI5dhiS
p | RT @GreenleafOWN: .@EmpireFOX The LORD is good!! #Greenleaf 🍃 https://t.co/rijXbON71W
p | thank you, everyone#americanalien was the ultimate rush it was about time i put my money where my mouth is https://t.co/Yagkp5KqND
p | yoooooo that last one looks NICE 👀 https://t.co/LPSGa7nQUu
p | My favorite thing Lately https://t.co/O5Y10OTUrk
p | Just discovered this tv show Plebs 😂😂👏👏 how have I only just seen this 🎉🎉🎉🎉🎉🎉🎉💚
p | RT @DavidBrentMovie: "I've been David Brent, you've been the best!" - #TheOffice is now streaming on @netflix https://t.co/WxcOgBFck1
p | "Sir, I salute your courage, your strength, and your indefatigability" https://t.co/S6HZIJBoTo
p | it's ok I fixed it you guys @scalzi @Popehat @bradheath https://t.co/ve8jdnCZBR
n | Isn't it strange that it's legal to own a woman this way? Listen Ursula, we want her voice back. #freeKesha  https://t.co/rifG9nWRWw
n | Are you concerned that Trump wants to talk with Kim Jong-Un? Could Cameron learn from him? 0345 6060973 @LBC https://t.co/MTECbxLxJj
n | RT @OpieandJimmy: Ricky Gervais explains why PC culture is destroying comedy https://t.co/kbvqwLyO4M
n | RT @itsonlymesarah: @Imogen_Thomas wasn't expecting it.  So sad.  I was crying over the deaf man who said his parents never signed to him 😪…
n | So sad to see leyton passed. Very sad #oneborn
n | If you don’t finish this, I will sue you. https://t.co/s6hfLZozu0
n | Okay, I'm being told that I probably won't get my channel deleted. Still, this sucks. Might be Vimeo ahoy for me
n | So I couldn't skip songs and ended up listening to ambient noise for 30 minutes. Not so fun.
n | RT @ChezneyforNow: Don't let social media fool you , people are going through serious issues and nobody is there for them
n | Strained my back muscle carrying my 30 pound back pack at the airport... Lesson learned. LoL.
n | RT @ShadowTodd: I miss the Mickey Mouse of my youth. https://t.co/Gm2OxxCEnt
n | If you're going to say anything is "like Dark Souls" please be prepared to expand on that because by nature that statement is so empty.
n | This day is a challenge
n | ...where the hell did the day go?
n | Guile feels so poop. LoL.
n | Why is everyone watching #OrphanBlack ahead of me? Y'all know you're supposed to wait so we can binge watch it together! #disappointed
n | When Views still hasn't been played and your starting to get mad https://t.co/ajvfHhAL5R
n | They really had the nerve to play some old drake 😑
n | RT @weeaboo: i nominate this for the worst election article https://t.co/WOaDeH5wIW
n | Telling me to undo a thing I can't undo, or to feel worse about a thing I already feel gross over, is not really helpful or friendly. Don't.
n | Just signed a lease I don't feel great about. Mentioned that on facebook. Now feel much worse about it. Cool.
n | I am of course totally stressed out now though. Interactions like that online are tough; that's why so many people avoid comment threads.
n | Need a new job. Wish I could work from home. This is bs
n | I actually feel bad for the Sad Puppies, who have been kicked out of their own protest by troll voting &amp; stupidity. https://t.co/HpKhu25Ttj
n | Mostly inaccurate. https://t.co/WRMxWW9jxQ
n | Sunny Again  Work Tomorrow :-|  TV Tonight
n | I must think about positive..
n | this weekend has sucked so far
n | jb isnt showing in australia any more!
n | ok thats it you win.
p | " goodbye exams, HELLO ALCOHOL TONIGHT "
p | uploading pictures on friendster 
p | bathroom is clean..... now on to more enjoyable tasks......
p | boom boom pow
p | go give ur mom a hug right now. http://bit.ly/azFwv
